name,stage,stage_label,description,url,repo,access,tags,url_status
AlphaFill,structure,Protein structure & modelling,"Transplants ligands, cofactors and metal ions into AlphaFold models by sequence and structure similarity. AlphaFold predicts the fold, not the metal, so a metalloprotein model without this step has an empty site.",https://alphafill.eu,,free-web,metals; cofactors; model-repair,200
ColabFold,structure,Protein structure & modelling,"AlphaFold2 and friends with MMseqs2 doing the MSA, which turns an overnight job into minutes; the usual way people actually run structure prediction.",https://github.com/sokrypton/ColabFold,sokrypton/colabfold,open-source,structure-prediction; msa,200
fpocket,binding-site,Binding site detection,"Voronoi-based pocket detection and druggability scoring, with mdpocket for pocket dynamics over MD trajectories.",https://github.com/Discngine/fpocket,discngine/fpocket,open-source,pocket-detection; druggability,200
P2Rank,binding-site,Binding site detection,"Machine-learning ligand-binding site prediction from structure; fast, template-free, used inside several docking pipelines.",https://github.com/rdk/p2rank,rdk/p2rank,open-source,pocket-detection,200
PrankWeb,binding-site,Binding site detection,Web front end for P2Rank with conservation scoring and in-browser visualisation.,https://prankweb.cz,,free-web,pocket-detection,200
CASTp,binding-site,Binding site detection,Computed atlas of surface topography: analytic pocket and cavity measurement.,http://sts.bioe.uic.edu/castp/,,free-web,pocket-detection,200
ProteinsPlus / DoGSiteScorer,binding-site,Binding site detection,"Pocket detection with druggability scores, plus protonation (Protoss) and pose analysis tools.",https://proteins.plus,,free-web,pocket-detection; druggability,200
MetalPDB,binding-site,Binding site detection,"Every metal site in the PDB, abstracted into minimal functional sites so you can compare coordination geometry and donor sets across unrelated folds.",https://metalpdb.cerm.unifi.it,,free-web,metals; metal-site; database,200
MESPEUS,binding-site,Binding site detection,"Metal coordination geometry measured across the PDB: bond lengths, angles and donor-set frequencies per metal. The reference for judging whether a site's geometry is physically reasonable.",https://mespeus.nchu.edu.tw,,free-web,metals; metal-site; geometry,200
MIB2,binding-site,Binding site detection,"Predicts metal ion-binding residues and models the ion into the structure, by fragment transfer from known sites; covers a dozen biologically common ions.",http://bioinfo.cmu.edu.tw/MIB2/,,free-web,metals; metal-site; prediction,200
Metal3D,binding-site,Binding site detection,3D CNN predicting zinc site location and probability density directly from protein geometry; useful when the apo structure has no ion modelled.,https://github.com/lcbc-epfl/metal-site-prediction,lcbc-epfl/metal-site-prediction,open-source,metals; zinc; prediction,200
BioMetAll,binding-site,Binding site detection,"Geometry-based search for candidate metal-binding sites using only backbone and side-chain positions, so it finds sites in apo and predicted structures. This is the published v1; v2 adds scoring and metal discrimination.",https://github.com/insilichem/biometall,insilichem/biometall,open-source,metals; metal-site; prediction,200
BioMetAll v2,binding-site,Binding site detection,"The current BioMetAll: adds a score per candidate site, discriminates between metals rather than reporting any site, and uses side-chain descriptors instead of backbone geometry alone.",https://github.com/insilichem/biometallv2,insilichem/biometallv2,open-source,metals; metal-site; prediction,200
BioBrigit,binding-site,Binding site detection,"Predicts how a metal ion travels through a protein to reach its site, not just where the site is. Combines a 3D CNN over the biochemical environment with known bioinorganic coordination preferences.",https://github.com/insilichem/BioBrigit,insilichem/biobrigit,open-source,metals; metal-site; diffusion-pathway,200
LMetalSite,binding-site,Binding site detection,"Alignment-free metal-binding residue prediction from sequence alone, via a protein language model; the fallback when there is no structure at all.",https://github.com/biomed-AI/LMetalSite,biomed-ai/lmetalsite,open-source,metals; metal-site; sequence,200
ZincBind,binding-site,Binding site detection,"Curated database of zinc binding sites extracted from the PDB, grouped by coordinating residue family and site type.",https://zincbind.net,,free-web,metals; zinc; database,200
InterMetalDB,binding-site,Binding site detection,"Intermolecular metal sites, where the ion bridges two chains or a chain and a ligand; the place to look before assuming a metal-mediated contact is an artefact.",https://intermetaldb.biotech.uwr.edu.pl,,free-web,metals; metal-site; database,200
RDKit,cheminformatics,Cheminformatics toolkits,"The open cheminformatics toolkit everything else is built on: descriptors, fingerprints, conformers, substructure search, reaction handling.",https://www.rdkit.org,rdkit/rdkit,open-source,toolkit; descriptors; fingerprints,200
AutoDock Vina,docking,Docking & virtual screening,"The most widely used open docking engine; fast, well-validated, and the baseline every other method is measured against.",https://vina.scripps.edu,ccsb-scripps/autodock-vina,open-source,docking; baseline,200
OpenMM,md,Molecular dynamics & free energy,GPU-accelerated MD as a Python library rather than a monolithic binary — the easiest engine to script custom simulation protocols around.,https://openmm.org,openmm/openmm,open-source,md-engine; python; gpu,200
Foldseek,structure,Protein structure & modelling,Structure search at sequence-search speed; finds structural homologues across the whole PDB and AlphaFold DB in seconds.,https://github.com/steineggerlab/foldseek,steineggerlab/foldseek,open-source,structure-search; homology,200
ProteinMPNN,biologics,Antibodies & protein engineering,"Inverse folding: given a backbone, designs sequences that fold to it. The workhorse of modern de novo protein design.",https://github.com/dauparas/ProteinMPNN,dauparas/proteinmpnn,open-source,inverse-folding; sequence-design,200
RFdiffusion,biologics,Antibodies & protein engineering,"Diffusion-based generation of protein backbones, including binders to a specified target site.",https://github.com/RosettaCommons/RFdiffusion,rosettacommons/rfdiffusion,open-source,protein-design; binder-design,200
AiZynthFinder,synthesis,Retrosynthesis & synthetic accessibility,"Monte-Carlo tree search retrosynthesis over learned templates, with building-block availability built into the search.",https://github.com/MolecularAI/aizynthfinder,molecularai/aizynthfinder,open-source,retrosynthesis; route-planning,200
ADMET-AI,admet,"ADMET, PK & toxicity","Fast Chemprop-RDKit ADMET predictions across the TDC endpoint set, with percentile context against approved drugs.",https://github.com/swansonk14/admet_ai,swansonk14/admet_ai,open-source,admet; batch,200
PoseBusters,benchmarks,Benchmarks & reference datasets,"Checks whether a predicted pose is physically possible at all — geometry, stereochemistry, clashes with the protein. The standard sanity gate for generated poses.",https://github.com/maabuu/posebusters,maabuu/posebusters,open-source,pose-validation; benchmark,200
ProLIF,docking,Docking & virtual screening,"Protein-ligand interaction fingerprints from structures or trajectories, so poses can be compared on interactions rather than score.",https://github.com/chemosim-lab/ProLIF,chemosim-lab/prolif,open-source,interactions; fingerprints,200
ABodyBuilder3,biologics,Antibodies & protein engineering,"Fast, accurate antibody Fv structure prediction with per-residue confidence on the CDR loops.",https://github.com/Exscientia/abodybuilder3,exscientia/abodybuilder3,open-source,antibody; structure-prediction,200
REINVENT4,generative,Generative design,"AstraZeneca's production generative design framework: reinforcement learning over a multi-parameter scoring function, with scaffold and linker modes.",https://github.com/MolecularAI/REINVENT4,molecularai/reinvent4,open-source,generative; reinforcement-learning,200
DiffSBDD,generative,Generative design,Equivariant diffusion generating ligands directly inside a protein pocket.,https://github.com/arneschneuing/DiffSBDD,arneschneuing/diffsbdd,open-source,sbdd; diffusion,200
TargetDiff,generative,Generative design,3D diffusion model for structure-based ligand generation; a common baseline for pocket-conditioned design.,https://github.com/guanjq/targetdiff,guanjq/targetdiff,open-source,sbdd; diffusion; baseline,200
NeuralPLexer,docking,Docking & virtual screening,"Predicts protein-ligand complex structures directly, generating the receptor conformation alongside the pose instead of docking into a fixed one.",https://github.com/zrqiao/NeuralPLexer,zrqiao/neuralplexer,open-source,co-folding; pose-prediction; induced-fit,200
KarmaDock,docking,Docking & virtual screening,"Deep-learning docking that scores and optimises poses in one pass, fast enough to make a neural method viable for library-scale screening.",https://github.com/schrojunzhang/KarmaDock,schrojunzhang/karmadock,open-source,docking; deep-learning; speed,200
SurfDock,docking,Docking & virtual screening,Surface-informed diffusion docking: conditions pose generation on the molecular surface of the pocket rather than atoms alone.,https://github.com/CAODH/SurfDock,caodh/surfdock,open-source,docking; diffusion; surface,200
AIMNet2,qm,Quantum chemistry,"Neural network potential covering neutral, charged and open-shell organic molecules across most of the periodic table — QM-quality energies at force-field cost.",https://github.com/isayevlab/AIMNet2,isayevlab/aimnet2,open-source,mlip; semiempirical-replacement,200
Auto3D,cheminformatics,Cheminformatics toolkits,Turns SMILES into low-energy 3D structures with correct stereochemistry and tautomer handling — the unglamorous step that silently ruins docking when skipped.,https://github.com/isayevlab/Auto3D_pkg,isayevlab/auto3d_pkg,open-source,conformers; 3d-generation; stereochemistry,200
mmpdb,cheminformatics,Cheminformatics toolkits,Matched molecular pair database from RDKit: extracts which single transformations have been made across a dataset and what they did to a property. The most directly medicinal-chemistry tool in the open stack.,https://github.com/rdkit/mmpdb,rdkit/mmpdb,open-source,matched-pairs; sar; med-chem,200
Lilly Medchem Rules,cheminformatics,Cheminformatics toolkits,"Eli Lilly's published rule set for rejecting compounds a medicinal chemist would not take forward — reactive groups, known frequent hitters, unstable motifs. A harder filter than PAINS alone.",https://github.com/IanAWatson/Lilly-Medchem-Rules,ianawatson/lilly-medchem-rules,open-source,filters; triage; med-chem,200
Fragmenstein,generative,Generative design,Merges and places fragment hits into a single compound that respects the crystallographic positions they came from — built for fragment-based campaigns and XChem-style data.,https://github.com/matteoferla/Fragmenstein,matteoferla/fragmenstein,open-source,fragment-merging; fbdd; placement,200
ScaffoldGraph,cheminformatics,Cheminformatics toolkits,"Builds scaffold trees and networks over a library, so you can see which chemotypes a screening set actually covers and where a series sits.",https://github.com/UCLCheminformatics/ScaffoldGraph,uclcheminformatics/scaffoldgraph,open-source,scaffolds; library-analysis,200
MolFormer,qsar-ml,QSAR / property-prediction ML,IBM's transformer pretrained on a billion molecules; a strong general-purpose embedding when you have too little labelled data to train from scratch.,https://github.com/IBM/molformer,ibm/molformer,open-source,pretrained; embeddings,200
ChemBERTa,qsar-ml,QSAR / property-prediction ML,BERT-style pretraining over SMILES — the accessible baseline for whether a pretrained representation beats fingerprints on your endpoint.,https://github.com/seyonechithrananda/bert-loves-chemistry,seyonechithrananda/bert-loves-chemistry,open-source,pretrained; smiles; baseline,200
Chemformer,synthesis,Retrosynthesis & synthetic accessibility,"Sequence-to-sequence transformer for reaction prediction and retrosynthesis, pretrained on SMILES and fine-tuned per task.",https://github.com/MolecularAI/Chemformer,molecularai/chemformer,open-source,retrosynthesis; reaction-prediction,200
OpenADMET,admet,"ADMET, PK & toxicity","Open consortium generating new experimental ADMET data on the targets that break programmes, and releasing models trained on it — an answer to ADMET models trained on stale public sets.",https://openadmet.org,,open-source,admet; open-data,error: URLError
PROTAC-DB,libraries,Compound & bioactivity databases,"Curated database of PROTACs with ternary complex data, linker chemistry and measured degradation — the reference set for degrader design.",http://cadd.zju.edu.cn/protacdb/,,free-web,protac; degrader; database,200
SEA,target-id,Target identification & validation,"Similarity Ensemble Approach: relates targets by the chemistry of their ligands, so a compound's likely off-targets fall out of its structure. Long-standing polypharmacology check.",https://sea.bkslab.org,,free-web,off-target; polypharmacology,200
SwissBioisostere,cheminformatics,Cheminformatics toolkits,"Which substituent replacements have actually been made and what they did to activity, mined from measured data — bioisosteric replacement grounded in evidence rather than intuition.",http://www.swissbioisostere.ch,,free-web,bioisostere; med-chem; sar,200
RXNMapper,synthesis,Retrosynthesis & synthetic accessibility,Atom-maps reactions from an attention-based model with no templates — the preprocessing step that template extraction and most reaction ML quietly depend on.,https://github.com/rxn4chemistry/rxnmapper,rxn4chemistry/rxnmapper,open-source,atom-mapping; reaction-data,200
Molecular Transformer,synthesis,Retrosynthesis & synthetic accessibility,"Sequence-to-sequence forward reaction prediction: given reactants, predict the product. The model most later reaction work is benchmarked against.",https://github.com/pschwllr/MolecularTransformer,pschwllr/moleculartransformer,open-source,forward-prediction; baseline,200
Retro*,synthesis,Retrosynthesis & synthetic accessibility,"Neural A* search over retrosynthesis trees, optimising the whole route rather than greedily picking each disconnection.",https://github.com/binghong-ml/retro_star,binghong-ml/retro_star,open-source,retrosynthesis; search,200
R-SMILES,synthesis,Retrosynthesis & synthetic accessibility,Root-aligned SMILES: a representation change that sharply improves seq2seq retrosynthesis accuracy by minimising the edit distance between product and reactants.,https://github.com/otori-bird/retrosynthesis,otori-bird/retrosynthesis,open-source,retrosynthesis; representation,200
RetroSim,synthesis,Retrosynthesis & synthetic accessibility,"Similarity-based retrosynthesis: find precedent reactions for similar molecules and transfer the disconnection. The baseline every neural planner should beat, and often does not.",https://github.com/connorcoley/retrosim,connorcoley/retrosim,open-source,retrosynthesis; baseline; precedent,200
PaRoutes,synthesis,Retrosynthesis & synthetic accessibility,Benchmark of real multi-step routes with the metrics to score a planner against them — how you tell whether a retrosynthesis model is actually better.,https://github.com/MolecularAI/PaRoutes,molecularai/paroutes,open-source,benchmark; routes,200
AiZynthTrain,synthesis,Retrosynthesis & synthetic accessibility,"Reproducible pipelines for training AiZynthFinder's models on your own reaction data, so in-house chemistry and stock are reflected in the routes.",https://github.com/MolecularAI/aizynthtrain,molecularai/aizynthtrain,open-source,retrosynthesis; training; in-house,200
Open Reaction Database,synthesis,Retrosynthesis & synthetic accessibility,"Open, structured reaction data with a defined schema — the public counterweight to proprietary reaction corpora, and the place to put your own.",https://open-reaction-database.org,open-reaction-database/ord-schema,open-source,reaction-data; open-data,200
DRFP,synthesis,Retrosynthesis & synthetic accessibility,"Reaction fingerprints without atom mapping or a neural net; a fast, surprisingly strong featuriser for yield and condition models.",https://github.com/reymond-group/drfp,reymond-group/drfp,open-source,reaction-fingerprint; yield-prediction,200
SYBA,synthesis,Retrosynthesis & synthetic accessibility,"Bayesian classifier for synthetic accessibility trained on easy vs hard molecules — a different signal from SAscore, useful as a second opinion.",https://github.com/lich-uct/syba,lich-uct/syba,open-source,synthetic-accessibility,200
PostEra Manifold,synthesis,Retrosynthesis & synthetic accessibility,"Route search over purchasable space with prices and lead times, plus synthesis-aware analogue search. Free tier covers occasional use.",https://postera.ai,,free-web,retrosynthesis; purchasability; analogues,200
Spaya,synthesis,Retrosynthesis & synthetic accessibility,Iktos' retrosynthesis service scoring routes on feasibility and building-block availability.,https://spaya.ai,,commercial,retrosynthesis,200
Synthia,synthesis,Retrosynthesis & synthetic accessibility,"Merck's expert-rules retrosynthesis platform (formerly Chematica) — hand-encoded chemistry rather than learned templates, and strong on stereochemistry.",https://www.synthiaonline.com,,commercial,retrosynthesis; expert-rules,200
Reaxys,synthesis,Retrosynthesis & synthetic accessibility,Elsevier's reaction and substance database; the precedent search a chemist checks before trusting any predicted route.,https://www.reaxys.com,,commercial,reaction-database; precedent,200
eMolecules,libraries,Compound & bioactivity databases,"Building-block and screening-compound catalogue with supplier stock and pricing, searchable by substructure.",https://www.emolecules.com,,commercial,building-blocks; suppliers,200
Mcule,libraries,Compound & bioactivity databases,Purchasable compound database with per-compound availability and a free web tier for small searches.,https://mcule.com,,commercial,building-blocks; purchasable,"403 (bot-protected, live)"
Chemspace,libraries,Compound & bioactivity databases,Aggregated supplier space — in-stock screening compounds and make-on-demand building blocks in one search.,https://chem-space.com,,commercial,building-blocks; make-on-demand,200
canSAR,target-id,Target identification & validation,"Target assessment built for drug discovery rather than biology: structural druggability, existing chemistry, clinical precedent and safety signals for one protein on one page.",https://cansar.ai,,free-web,druggability; target-assessment,200
Probe Miner,target-id,Target identification & validation,"Scores public chemical probes on potency, selectivity and cell activity, so you can tell whether the compound in a paper actually supports its conclusion.",https://probeminer.icr.ac.uk,,free-web,chemical-probes; tool-compounds,"403 (bot-protected, live)"
FTMap,target-id,Target identification & validation,"Computational solvent mapping: docks small organic probes across the surface to find consensus hot spots — where a ligand could get real binding energy, before any chemistry starts.",https://ftmap.bu.edu,,free-web,hotspots; ligandability; fragment-mapping,200
Fragment Hotspot Maps,binding-site,Binding site detection,"CCDC's hotspot maps score a pocket by the interaction patterns seen in crystal structures, showing which subpockets are worth growing into.",https://github.com/prcurran/hotspots,prcurran/hotspots,academic,hotspots; fragment-growing,200
DrugCentral,target-id,Target identification & validation,"Approved drugs with their targets, measured activities, indications and pharmacology — the fastest way to see what already works on a target family.",https://drugcentral.org,,free-web,approved-drugs; precedent,200
Therapeutic Target Database,target-id,Target identification & validation,"Targets classified by clinical stage with the drugs against each, useful for judging how contested a target already is.",https://db.idrblab.net/ttd/,,free-web,targets; competitive,200
PDBe-KB,target-id,Target identification & validation,"Aggregates every structural annotation for a protein — ligand sites, interfaces, conformational states — across all its PDB entries at once.",https://www.ebi.ac.uk/pdbe/pdbe-kb/,,free-web,structural-annotation; ligand-sites,200
KLIFS,target-id,Target identification & validation,"Kinase-ligand structures on a common 85-residue binding-site numbering, so binding modes and DFG/αC states are comparable across the whole kinome.",https://klifs.net,,free-web,kinase; selectivity; binding-mode,200
GPCRdb,target-id,Target identification & validation,"Structures, mutations, ligands and conformational states across the GPCR superfamily, on a shared residue numbering.",https://gpcrdb.org,,free-web,gpcr; structures; family,200
gnomAD,target-id,Target identification & validation,Population variation with loss-of-function constraint: whether humans tolerate losing this gene is the cheapest safety signal you will get on a target.,https://gnomad.broadinstitute.org,,free-web,genetic-constraint; target-safety,200
GWAS Catalog,target-id,Target identification & validation,Curated genotype-phenotype associations — the genetic evidence line that most strongly predicts clinical success.,https://www.ebi.ac.uk/gwas/,,free-web,genetics; target-validation,200
STITCH,target-id,Target identification & validation,"Known and predicted chemical-protein interactions across species, useful for a first pass at what else a chemotype might touch.",http://stitch-db.org,,free-web,off-target; chemical-protein,error: URLError
Chemprop,qsar-ml,QSAR / property-prediction ML,"Directed message-passing neural networks for molecular property prediction — the open baseline that beats descriptor models on most endpoints with enough data, and the engine under ADMET-AI.",https://github.com/chemprop/chemprop,chemprop/chemprop,open-source,gnn; property-prediction; baseline,200
PanDDA,structure,Protein structure & modelling,"Finds fragment binding events that conventional refinement misses, by comparing many datasets to a ground state — the analysis that makes crystallographic fragment screening work at all.",https://github.com/ConorFWild/pandda,conorfwild/pandda,open-source,fragment-screening; crystallography; event-maps,200
Fragalysis,structure,Protein structure & modelling,"Diamond's browser for fragment screening campaigns: every hit, its density and its pose, in one place, with the merged designs that came from them.",https://fragalysis.diamond.ac.uk,xchem/fragalysis,free-web,fragment-screening; xchem; hit-browser,200
SeeSAR,generative,Generative design,"Interactive structure-based design: grow, replace and link with estimated affinity and torsion strain updating as you edit. The commercial tool medicinal chemists actually enjoy using.",https://www.biosolveit.de/products/,,commercial,interactive-design; fragment-growing; strain,200
HADDOCK3,docking,Docking & virtual screening,"Integrative docking driven by experimental restraints, and the practical open route to protein-protein and ternary complexes such as PROTAC-induced interfaces.",https://github.com/haddocking/haddock3,haddocking/haddock3,open-source,protein-protein; ternary-complex; restraints,200
Cytoscape,viz,Structure & molecule visualisation,"The platform network pharmacology is done on: build a compound-target-pathway network, lay it out, score the hubs, and see what the topology actually says.",https://cytoscape.org,cytoscape/cytoscape,open-source,network; pharmacology; visualisation,200
NetworkAnalyst,target-id,Target identification & validation,"Network and enrichment analysis in the browser, from a gene or protein list to a protein-protein interaction subnetwork with statistics attached.",https://www.networkanalyst.ca,,free-web,network; enrichment; ppi,200
Metascape,target-id,Target identification & validation,"Gene list annotation and enrichment across many ontologies at once, with a protein-protein interaction module. The fastest way from a hit list to a defensible pathway story.",https://metascape.org,,free-web,enrichment; annotation; network,200
GeneMANIA,target-id,Target identification & validation,"Predicts function by placing a gene in a composite network of co-expression, physical interaction and pathway membership, and names the evidence for each edge.",https://genemania.org,,free-web,network; function-prediction,200
clusterProfiler,target-id,Target identification & validation,"The R package most enrichment figures in the literature come from: over-representation and GSEA across GO, KEGG and custom sets, with the plots built in.",https://bioconductor.org/packages/clusterProfiler/,yulab-smu/clusterprofiler,open-source,enrichment; gsea; r,200
CTD,target-id,Target identification & validation,"Comparative Toxicogenomics Database: curated chemical-gene, chemical-disease and gene-disease relationships from the literature. The evidence layer under most chemical-centric network studies.",https://ctdbase.org,,free-web,chemical-gene; curated; toxicogenomics,200
BATMAN-TCM,target-id,Target identification & validation,"Predicts targets for the constituents of a herbal formula and runs the enrichment over them, built specifically for the multi-compound multi-target case.",http://bionet.ncpsb.org.cn/batman-tcm/,,free-web,network-pharmacology; tcm; target-prediction,200
NPASS,libraries,Compound & bioactivity databases,"Natural products with measured activities against defined targets, and the species they came from. The quantitative counterpart to structure-only natural product collections.",https://bidd.group/NPASS/,,free-web,natural-products; bioactivity; species,200
CMAUP,libraries,Compound & bioactivity databases,"Collective molecular activities of useful plants: plant species mapped to their constituents, those constituents to targets, and targets to pathways and diseases.",https://bidd.group/CMAUP/,,free-web,plants; network-pharmacology; targets,200
IMPPAT,libraries,Compound & bioactivity databases,"Indian medicinal plants, their phytochemicals and therapeutic uses, with curated structures and drug-likeness already computed.",https://cb.imsc.res.in/imppat/,,free-web,plants; phytochemicals; ethnopharmacology,200
FooDB,libraries,Compound & bioactivity databases,"The chemistry of food: constituents of plant and animal foods with structures, concentrations and provenance. Useful when the starting point is a dietary source rather than a screening deck.",https://foodb.ca,,free-web,food-chemistry; phytochemicals,error: URLError
Phenol-Explorer,libraries,Compound & bioactivity databases,"Measured polyphenol contents of foods, including what processing and cooking do to them. Specific where general natural product databases are silent.",http://phenol-explorer.eu,,free-web,polyphenols; plants; measured-content,200
Open Babel,cheminformatics,Cheminformatics toolkits,"Chemical file format interconversion, 3D coordinate generation and conformer search across 110+ formats.",https://openbabel.org,openbabel/openbabel,open-source,file-formats; conversion,error: URLError
Datamol,cheminformatics,Cheminformatics toolkits,"Ergonomic RDKit wrapper for standardisation, featurisation and parallel molecular processing.",https://datamol.io,datamol-io/datamol,open-source,rdkit; preprocessing,200
ChEMBL Structure Pipeline,cheminformatics,Cheminformatics toolkits,"The exact standardisation, parent-extraction and salt-stripping rules ChEMBL applies; the reference for reproducible curation.",https://github.com/chembl/ChEMBL_Structure_Pipeline,chembl/chembl_structure_pipeline,open-source,standardisation; curation,200
Mordred,cheminformatics,Cheminformatics toolkits,"1,800+ 2D/3D molecular descriptors on top of RDKit; the classical descriptor baseline for QSAR.",https://github.com/JacksonBurns/mordred-community,jacksonburns/mordred-community,open-source,descriptors,200
CDK,cheminformatics,Cheminformatics toolkits,"Chemistry Development Kit: the mature Java cheminformatics library (descriptors, fingerprints, IO).",https://cdk.github.io,cdk/cdk,open-source,java; library,200
Indigo,cheminformatics,Cheminformatics toolkits,"EPAM's cheminformatics toolkit for structure handling, reaction processing and rendering, with bindings for several languages.",https://github.com/epam/Indigo,epam/indigo,open-source,library; rendering,200
Ketcher,cheminformatics,Cheminformatics toolkits,Web structure editor for sketching molecules and reactions in browser-based apps.,https://github.com/epam/ketcher,epam/ketcher,open-source,editor; web,200
OPSIN,cheminformatics,Cheminformatics toolkits,Converts IUPAC chemical names to structures; the standard name-to-structure parser.,https://github.com/dan2097/opsin,dan2097/opsin,open-source,name-to-structure,200
