source,stage,name,description,url,code_url,paper_url,categories,year,license,repo,stars,also_in
curated,structure,SWISS-MODEL,Automated homology modelling server with quality estimation (QMEANDisCo) and oligomeric state prediction.,https://swissmodel.expasy.org,,,homology-modelling,,free-web,,,biotools
curated,structure,MMseqs2,Ultra-fast sequence search and clustering; the MSA engine behind ColabFold.,https://github.com/soedinglab/MMseqs2,https://github.com/soedinglab/mmseqs2,,msa; search,,open-source,soedinglab/mmseqs2,,
curated,structure,HH-suite3,HMM-HMM remote homology detection for hard templates and deep MSAs.,https://github.com/soedinglab/hh-suite,https://github.com/soedinglab/hh-suite,,msa; remote-homology,,open-source,soedinglab/hh-suite,,github-topics
curated,structure,PDBFixer,"Repairs PDB files for simulation: missing residues and heavy atoms, non-standard residues, protonation, solvation.",https://github.com/openmm/pdbfixer,https://github.com/openmm/pdbfixer,,preparation,,open-source,openmm/pdbfixer,,
curated,structure,PDB2PQR / APBS,"Assigns titration states and charges/radii, then solves Poisson-Boltzmann electrostatics.",https://github.com/Electrostatics/apbs,https://github.com/electrostatics/apbs,,preparation; electrostatics,,open-source,electrostatics/apbs,,
curated,structure,PROPKA,"Empirical pKa prediction for protein residues and ligands, used to set protonation before docking or MD.",https://github.com/jensengroup/propka,https://github.com/jensengroup/propka,,preparation; pka,,open-source,jensengroup/propka,,github-topics
curated,structure,Biopython,"General bioinformatics library: sequence and structure parsing, alignment, PDB handling.",https://biopython.org,https://github.com/biopython/biopython,,library,,open-source,biopython/biopython,,github-topics
curated,structure,DSSP,Reference secondary-structure and solvent-accessibility assignment from 3D coordinates.,https://github.com/PDB-REDO/dssp,https://github.com/pdb-redo/dssp,,secondary-structure,,open-source,pdb-redo/dssp,,
curated,structure,CheckMyMetal,"Validates metal sites in deposited or refined structures against expected coordination number, geometry and donor distances. Mis-assigned metals are common; check before you build a docking model on one.",https://cmm.minorlab.org,,,metals; validation; crystallography,,free-web,,,
curated,structure,AlphaFill,"Transplants ligands, cofactors and metal ions into AlphaFold models by sequence and structure similarity. AlphaFold predicts the fold, not the metal, so a metalloprotein model without this step has an empty site.",https://alphafill.eu,,,metals; cofactors; model-repair,,free-web,,,
curated,structure,ColabFold,"AlphaFold2 and friends with MMseqs2 doing the MSA, which turns an overnight job into minutes; the usual way people actually run structure prediction.",https://github.com/sokrypton/ColabFold,https://github.com/sokrypton/colabfold,,structure-prediction; msa,,open-source,sokrypton/colabfold,,github-topics
curated,binding-site,fpocket,"Voronoi-based pocket detection and druggability scoring, with mdpocket for pocket dynamics over MD trajectories.",https://github.com/Discngine/fpocket,https://github.com/discngine/fpocket,,pocket-detection; druggability,,open-source,discngine/fpocket,,
curated,binding-site,P2Rank,"Machine-learning ligand-binding site prediction from structure; fast, template-free, used inside several docking pipelines.",https://github.com/rdk/p2rank,https://github.com/rdk/p2rank,,pocket-detection,,open-source,rdk/p2rank,,github-topics
curated,binding-site,PrankWeb,Web front end for P2Rank with conservation scoring and in-browser visualisation.,https://prankweb.cz,,,pocket-detection,,free-web,,,
curated,binding-site,CASTp,Computed atlas of surface topography: analytic pocket and cavity measurement.,http://sts.bioe.uic.edu/castp/,,,pocket-detection,,free-web,,,biotools
curated,binding-site,ProteinsPlus / DoGSiteScorer,"Pocket detection with druggability scores, plus protonation (Protoss) and pose analysis tools.",https://proteins.plus,,,pocket-detection; druggability,,free-web,,,
curated,binding-site,MetalPDB,"Every metal site in the PDB, abstracted into minimal functional sites so you can compare coordination geometry and donor sets across unrelated folds.",https://metalpdb.cerm.unifi.it,,,metals; metal-site; database,,free-web,,,
curated,binding-site,MESPEUS,"Metal coordination geometry measured across the PDB: bond lengths, angles and donor-set frequencies per metal. The reference for judging whether a site's geometry is physically reasonable.",https://mespeus.nchu.edu.tw,,,metals; metal-site; geometry,,free-web,,,
curated,binding-site,MIB2,"Predicts metal ion-binding residues and models the ion into the structure, by fragment transfer from known sites; covers a dozen biologically common ions.",http://bioinfo.cmu.edu.tw/MIB2/,,,metals; metal-site; prediction,,free-web,,,biotools
curated,binding-site,Metal3D,3D CNN predicting zinc site location and probability density directly from protein geometry; useful when the apo structure has no ion modelled.,https://github.com/lcbc-epfl/metal-site-prediction,https://github.com/lcbc-epfl/metal-site-prediction,,metals; zinc; prediction,,open-source,lcbc-epfl/metal-site-prediction,,
curated,binding-site,BioMetAll,"Geometry-based search for candidate metal-binding sites using only backbone and side-chain positions, so it finds sites in apo and predicted structures. This is the published v1; v2 adds scoring and metal discrimination.",https://github.com/insilichem/biometall,https://github.com/insilichem/biometall,,metals; metal-site; prediction,,open-source,insilichem/biometall,,
curated,binding-site,BioMetAll v2,"The current BioMetAll: adds a score per candidate site, discriminates between metals rather than reporting any site, and uses side-chain descriptors instead of backbone geometry alone.",https://github.com/insilichem/biometallv2,https://github.com/insilichem/biometallv2,,metals; metal-site; prediction,,open-source,insilichem/biometallv2,,
curated,binding-site,BioBrigit,"Predicts how a metal ion travels through a protein to reach its site, not just where the site is. Combines a 3D CNN over the biochemical environment with known bioinorganic coordination preferences.",https://github.com/insilichem/BioBrigit,https://github.com/insilichem/biobrigit,,metals; metal-site; diffusion-pathway,,open-source,insilichem/biobrigit,,
curated,binding-site,LMetalSite,"Alignment-free metal-binding residue prediction from sequence alone, via a protein language model; the fallback when there is no structure at all.",https://github.com/biomed-AI/LMetalSite,https://github.com/biomed-ai/lmetalsite,,metals; metal-site; sequence,,open-source,biomed-ai/lmetalsite,,biotools
curated,binding-site,ZincBind,"Curated database of zinc binding sites extracted from the PDB, grouped by coordinating residue family and site type.",https://zincbind.net,,,metals; zinc; database,,free-web,,,
curated,binding-site,InterMetalDB,"Intermolecular metal sites, where the ion bridges two chains or a chain and a ligand; the place to look before assuming a metal-mediated contact is an artefact.",https://intermetaldb.biotech.uwr.edu.pl,,,metals; metal-site; database,,free-web,,,biotools
curated,cheminformatics,RDKit,"The open cheminformatics toolkit everything else is built on: descriptors, fingerprints, conformers, substructure search, reaction handling.",https://www.rdkit.org,https://github.com/rdkit/rdkit,,toolkit; descriptors; fingerprints,,open-source,rdkit/rdkit,,github-topics
curated,docking,AutoDock Vina,"The most widely used open docking engine; fast, well-validated, and the baseline every other method is measured against.",https://vina.scripps.edu,https://github.com/ccsb-scripps/autodock-vina,,docking; baseline,,open-source,ccsb-scripps/autodock-vina,,
curated,md,OpenMM,GPU-accelerated MD as a Python library rather than a monolithic binary — the easiest engine to script custom simulation protocols around.,https://openmm.org,https://github.com/openmm/openmm,,md-engine; python; gpu,,open-source,openmm/openmm,,github-topics
curated,structure,Foldseek,Structure search at sequence-search speed; finds structural homologues across the whole PDB and AlphaFold DB in seconds.,https://github.com/steineggerlab/foldseek,https://github.com/steineggerlab/foldseek,,structure-search; homology,,open-source,steineggerlab/foldseek,,github-topics
curated,biologics,ProteinMPNN,"Inverse folding: given a backbone, designs sequences that fold to it. The workhorse of modern de novo protein design.",https://github.com/dauparas/ProteinMPNN,https://github.com/dauparas/proteinmpnn,,inverse-folding; sequence-design,,open-source,dauparas/proteinmpnn,,
curated,biologics,RFdiffusion,"Diffusion-based generation of protein backbones, including binders to a specified target site.",https://github.com/RosettaCommons/RFdiffusion,https://github.com/rosettacommons/rfdiffusion,,protein-design; binder-design,,open-source,rosettacommons/rfdiffusion,,
curated,synthesis,AiZynthFinder,"Monte-Carlo tree search retrosynthesis over learned templates, with building-block availability built into the search.",https://github.com/MolecularAI/aizynthfinder,https://github.com/molecularai/aizynthfinder,,retrosynthesis; route-planning,,open-source,molecularai/aizynthfinder,,github-topics
curated,admet,ADMET-AI,"Fast Chemprop-RDKit ADMET predictions across the TDC endpoint set, with percentile context against approved drugs.",https://github.com/swansonk14/admet_ai,https://github.com/swansonk14/admet_ai,,admet; batch,,open-source,swansonk14/admet_ai,,
curated,benchmarks,PoseBusters,"Checks whether a predicted pose is physically possible at all — geometry, stereochemistry, clashes with the protein. The standard sanity gate for generated poses.",https://github.com/maabuu/posebusters,https://github.com/maabuu/posebusters,,pose-validation; benchmark,,open-source,maabuu/posebusters,,
curated,docking,ProLIF,"Protein-ligand interaction fingerprints from structures or trajectories, so poses can be compared on interactions rather than score.",https://github.com/chemosim-lab/ProLIF,https://github.com/chemosim-lab/prolif,,interactions; fingerprints,,open-source,chemosim-lab/prolif,,github-topics
curated,biologics,ABodyBuilder3,"Fast, accurate antibody Fv structure prediction with per-residue confidence on the CDR loops.",https://github.com/Exscientia/abodybuilder3,https://github.com/exscientia/abodybuilder3,,antibody; structure-prediction,,open-source,exscientia/abodybuilder3,,
curated,generative,REINVENT4,"AstraZeneca's production generative design framework: reinforcement learning over a multi-parameter scoring function, with scaffold and linker modes.",https://github.com/MolecularAI/REINVENT4,https://github.com/molecularai/reinvent4,,generative; reinforcement-learning,,open-source,molecularai/reinvent4,,github-topics
curated,generative,DiffSBDD,Equivariant diffusion generating ligands directly inside a protein pocket.,https://github.com/arneschneuing/DiffSBDD,https://github.com/arneschneuing/diffsbdd,,sbdd; diffusion,,open-source,arneschneuing/diffsbdd,,
curated,generative,TargetDiff,3D diffusion model for structure-based ligand generation; a common baseline for pocket-conditioned design.,https://github.com/guanjq/targetdiff,https://github.com/guanjq/targetdiff,,sbdd; diffusion; baseline,,open-source,guanjq/targetdiff,,
curated,docking,NeuralPLexer,"Predicts protein-ligand complex structures directly, generating the receptor conformation alongside the pose instead of docking into a fixed one.",https://github.com/zrqiao/NeuralPLexer,https://github.com/zrqiao/neuralplexer,,co-folding; pose-prediction; induced-fit,,open-source,zrqiao/neuralplexer,,
curated,docking,KarmaDock,"Deep-learning docking that scores and optimises poses in one pass, fast enough to make a neural method viable for library-scale screening.",https://github.com/schrojunzhang/KarmaDock,https://github.com/schrojunzhang/karmadock,,docking; deep-learning; speed,,open-source,schrojunzhang/karmadock,,
curated,docking,SurfDock,Surface-informed diffusion docking: conditions pose generation on the molecular surface of the pocket rather than atoms alone.,https://github.com/CAODH/SurfDock,https://github.com/caodh/surfdock,,docking; diffusion; surface,,open-source,caodh/surfdock,,
curated,qm,AIMNet2,"Neural network potential covering neutral, charged and open-shell organic molecules across most of the periodic table — QM-quality energies at force-field cost.",https://github.com/isayevlab/AIMNet2,https://github.com/isayevlab/aimnet2,,mlip; semiempirical-replacement,,open-source,isayevlab/aimnet2,,
curated,cheminformatics,Auto3D,Turns SMILES into low-energy 3D structures with correct stereochemistry and tautomer handling — the unglamorous step that silently ruins docking when skipped.,https://github.com/isayevlab/Auto3D_pkg,https://github.com/isayevlab/auto3d_pkg,,conformers; 3d-generation; stereochemistry,,open-source,isayevlab/auto3d_pkg,,
curated,cheminformatics,mmpdb,Matched molecular pair database from RDKit: extracts which single transformations have been made across a dataset and what they did to a property. The most directly medicinal-chemistry tool in the open stack.,https://github.com/rdkit/mmpdb,https://github.com/rdkit/mmpdb,,matched-pairs; sar; med-chem,,open-source,rdkit/mmpdb,,
curated,cheminformatics,Lilly Medchem Rules,"Eli Lilly's published rule set for rejecting compounds a medicinal chemist would not take forward — reactive groups, known frequent hitters, unstable motifs. A harder filter than PAINS alone.",https://github.com/IanAWatson/Lilly-Medchem-Rules,https://github.com/ianawatson/lilly-medchem-rules,,filters; triage; med-chem,,open-source,ianawatson/lilly-medchem-rules,,
curated,generative,Fragmenstein,Merges and places fragment hits into a single compound that respects the crystallographic positions they came from — built for fragment-based campaigns and XChem-style data.,https://github.com/matteoferla/Fragmenstein,https://github.com/matteoferla/fragmenstein,,fragment-merging; fbdd; placement,,open-source,matteoferla/fragmenstein,,github-topics
curated,cheminformatics,ScaffoldGraph,"Builds scaffold trees and networks over a library, so you can see which chemotypes a screening set actually covers and where a series sits.",https://github.com/UCLCheminformatics/ScaffoldGraph,https://github.com/uclcheminformatics/scaffoldgraph,,scaffolds; library-analysis,,open-source,uclcheminformatics/scaffoldgraph,,biotools; github-topics
curated,qsar-ml,MolFormer,IBM's transformer pretrained on a billion molecules; a strong general-purpose embedding when you have too little labelled data to train from scratch.,https://github.com/IBM/molformer,https://github.com/ibm/molformer,,pretrained; embeddings,,open-source,ibm/molformer,,
curated,qsar-ml,ChemBERTa,BERT-style pretraining over SMILES — the accessible baseline for whether a pretrained representation beats fingerprints on your endpoint.,https://github.com/seyonechithrananda/bert-loves-chemistry,https://github.com/seyonechithrananda/bert-loves-chemistry,,pretrained; smiles; baseline,,open-source,seyonechithrananda/bert-loves-chemistry,,
curated,synthesis,Chemformer,"Sequence-to-sequence transformer for reaction prediction and retrosynthesis, pretrained on SMILES and fine-tuned per task.",https://github.com/MolecularAI/Chemformer,https://github.com/molecularai/chemformer,,retrosynthesis; reaction-prediction,,open-source,molecularai/chemformer,,
curated,admet,OpenADMET,"Open consortium generating new experimental ADMET data on the targets that break programmes, and releasing models trained on it — an answer to ADMET models trained on stale public sets.",https://openadmet.org,,,admet; open-data,,open-source,,,
curated,libraries,PROTAC-DB,"Curated database of PROTACs with ternary complex data, linker chemistry and measured degradation — the reference set for degrader design.",http://cadd.zju.edu.cn/protacdb/,,,protac; degrader; database,,free-web,,,
curated,target-id,SEA,"Similarity Ensemble Approach: relates targets by the chemistry of their ligands, so a compound's likely off-targets fall out of its structure. Long-standing polypharmacology check.",https://sea.bkslab.org,,,off-target; polypharmacology,,free-web,,,
curated,cheminformatics,SwissBioisostere,"Which substituent replacements have actually been made and what they did to activity, mined from measured data — bioisosteric replacement grounded in evidence rather than intuition.",http://www.swissbioisostere.ch,,,bioisostere; med-chem; sar,,free-web,,,biotools
curated,synthesis,RXNMapper,Atom-maps reactions from an attention-based model with no templates — the preprocessing step that template extraction and most reaction ML quietly depend on.,https://github.com/rxn4chemistry/rxnmapper,https://github.com/rxn4chemistry/rxnmapper,,atom-mapping; reaction-data,,open-source,rxn4chemistry/rxnmapper,,
curated,synthesis,Molecular Transformer,"Sequence-to-sequence forward reaction prediction: given reactants, predict the product. The model most later reaction work is benchmarked against.",https://github.com/pschwllr/MolecularTransformer,https://github.com/pschwllr/moleculartransformer,,forward-prediction; baseline,,open-source,pschwllr/moleculartransformer,,
curated,synthesis,Retro*,"Neural A* search over retrosynthesis trees, optimising the whole route rather than greedily picking each disconnection.",https://github.com/binghong-ml/retro_star,https://github.com/binghong-ml/retro_star,,retrosynthesis; search,,open-source,binghong-ml/retro_star,,
curated,synthesis,R-SMILES,Root-aligned SMILES: a representation change that sharply improves seq2seq retrosynthesis accuracy by minimising the edit distance between product and reactants.,https://github.com/otori-bird/retrosynthesis,https://github.com/otori-bird/retrosynthesis,,retrosynthesis; representation,,open-source,otori-bird/retrosynthesis,,
curated,synthesis,RetroSim,"Similarity-based retrosynthesis: find precedent reactions for similar molecules and transfer the disconnection. The baseline every neural planner should beat, and often does not.",https://github.com/connorcoley/retrosim,https://github.com/connorcoley/retrosim,,retrosynthesis; baseline; precedent,,open-source,connorcoley/retrosim,,
curated,synthesis,PaRoutes,Benchmark of real multi-step routes with the metrics to score a planner against them — how you tell whether a retrosynthesis model is actually better.,https://github.com/MolecularAI/PaRoutes,https://github.com/molecularai/paroutes,,benchmark; routes,,open-source,molecularai/paroutes,,
curated,synthesis,AiZynthTrain,"Reproducible pipelines for training AiZynthFinder's models on your own reaction data, so in-house chemistry and stock are reflected in the routes.",https://github.com/MolecularAI/aizynthtrain,https://github.com/molecularai/aizynthtrain,,retrosynthesis; training; in-house,,open-source,molecularai/aizynthtrain,,
curated,synthesis,Open Reaction Database,"Open, structured reaction data with a defined schema — the public counterweight to proprietary reaction corpora, and the place to put your own.",https://open-reaction-database.org,https://github.com/open-reaction-database/ord-schema,,reaction-data; open-data,,open-source,open-reaction-database/ord-schema,,
curated,synthesis,DRFP,"Reaction fingerprints without atom mapping or a neural net; a fast, surprisingly strong featuriser for yield and condition models.",https://github.com/reymond-group/drfp,https://github.com/reymond-group/drfp,,reaction-fingerprint; yield-prediction,,open-source,reymond-group/drfp,,
curated,synthesis,SYBA,"Bayesian classifier for synthetic accessibility trained on easy vs hard molecules — a different signal from SAscore, useful as a second opinion.",https://github.com/lich-uct/syba,https://github.com/lich-uct/syba,,synthetic-accessibility,,open-source,lich-uct/syba,,
curated,synthesis,PostEra Manifold,"Route search over purchasable space with prices and lead times, plus synthesis-aware analogue search. Free tier covers occasional use.",https://postera.ai,,,retrosynthesis; purchasability; analogues,,free-web,,,
curated,synthesis,Spaya,Iktos' retrosynthesis service scoring routes on feasibility and building-block availability.,https://spaya.ai,,,retrosynthesis,,commercial,,,
curated,synthesis,Synthia,"Merck's expert-rules retrosynthesis platform (formerly Chematica) — hand-encoded chemistry rather than learned templates, and strong on stereochemistry.",https://www.synthiaonline.com,,,retrosynthesis; expert-rules,,commercial,,,
curated,synthesis,Reaxys,Elsevier's reaction and substance database; the precedent search a chemist checks before trusting any predicted route.,https://www.reaxys.com,,,reaction-database; precedent,,commercial,,,
curated,libraries,eMolecules,"Building-block and screening-compound catalogue with supplier stock and pricing, searchable by substructure.",https://www.emolecules.com,,,building-blocks; suppliers,,commercial,,,
curated,libraries,Mcule,Purchasable compound database with per-compound availability and a free web tier for small searches.,https://mcule.com,,,building-blocks; purchasable,,commercial,,,
curated,libraries,Chemspace,Aggregated supplier space — in-stock screening compounds and make-on-demand building blocks in one search.,https://chem-space.com,,,building-blocks; make-on-demand,,commercial,,,
curated,target-id,canSAR,"Target assessment built for drug discovery rather than biology: structural druggability, existing chemistry, clinical precedent and safety signals for one protein on one page.",https://cansar.ai,,,druggability; target-assessment,,free-web,,,biotools
curated,target-id,Probe Miner,"Scores public chemical probes on potency, selectivity and cell activity, so you can tell whether the compound in a paper actually supports its conclusion.",https://probeminer.icr.ac.uk,,,chemical-probes; tool-compounds,,free-web,,,
curated,target-id,FTMap,"Computational solvent mapping: docks small organic probes across the surface to find consensus hot spots — where a ligand could get real binding energy, before any chemistry starts.",https://ftmap.bu.edu,,,hotspots; ligandability; fragment-mapping,,free-web,,,biotools
curated,binding-site,Fragment Hotspot Maps,"CCDC's hotspot maps score a pocket by the interaction patterns seen in crystal structures, showing which subpockets are worth growing into.",https://github.com/prcurran/hotspots,https://github.com/prcurran/hotspots,,hotspots; fragment-growing,,academic,prcurran/hotspots,,
curated,target-id,DrugCentral,"Approved drugs with their targets, measured activities, indications and pharmacology — the fastest way to see what already works on a target family.",https://drugcentral.org,,,approved-drugs; precedent,,free-web,,,biotools
curated,target-id,Therapeutic Target Database,"Targets classified by clinical stage with the drugs against each, useful for judging how contested a target already is.",https://db.idrblab.net/ttd/,,,targets; competitive,,free-web,,,biotools
curated,target-id,PDBe-KB,"Aggregates every structural annotation for a protein — ligand sites, interfaces, conformational states — across all its PDB entries at once.",https://www.ebi.ac.uk/pdbe/pdbe-kb/,,,structural-annotation; ligand-sites,,free-web,,,biotools
curated,target-id,KLIFS,"Kinase-ligand structures on a common 85-residue binding-site numbering, so binding modes and DFG/αC states are comparable across the whole kinome.",https://klifs.net,,,kinase; selectivity; binding-mode,,free-web,,,biotools
curated,target-id,GPCRdb,"Structures, mutations, ligands and conformational states across the GPCR superfamily, on a shared residue numbering.",https://gpcrdb.org,,,gpcr; structures; family,,free-web,,,biotools
curated,target-id,gnomAD,Population variation with loss-of-function constraint: whether humans tolerate losing this gene is the cheapest safety signal you will get on a target.,https://gnomad.broadinstitute.org,,,genetic-constraint; target-safety,,free-web,,,
curated,target-id,GWAS Catalog,Curated genotype-phenotype associations — the genetic evidence line that most strongly predicts clinical success.,https://www.ebi.ac.uk/gwas/,,,genetics; target-validation,,free-web,,,
curated,target-id,STITCH,"Known and predicted chemical-protein interactions across species, useful for a first pass at what else a chemotype might touch.",http://stitch-db.org,,,off-target; chemical-protein,,free-web,,,
curated,qsar-ml,Chemprop,"Directed message-passing neural networks for molecular property prediction — the open baseline that beats descriptor models on most endpoints with enough data, and the engine under ADMET-AI.",https://github.com/chemprop/chemprop,https://github.com/chemprop/chemprop,,gnn; property-prediction; baseline,,open-source,chemprop/chemprop,,github-stars:yboulaamane; github-topics
curated,structure,PanDDA,"Finds fragment binding events that conventional refinement misses, by comparing many datasets to a ground state — the analysis that makes crystallographic fragment screening work at all.",https://github.com/ConorFWild/pandda,https://github.com/conorfwild/pandda,,fragment-screening; crystallography; event-maps,,open-source,conorfwild/pandda,,
curated,structure,Fragalysis,"Diamond's browser for fragment screening campaigns: every hit, its density and its pose, in one place, with the merged designs that came from them.",https://fragalysis.diamond.ac.uk,https://github.com/xchem/fragalysis,,fragment-screening; xchem; hit-browser,,free-web,xchem/fragalysis,,
curated,generative,SeeSAR,"Interactive structure-based design: grow, replace and link with estimated affinity and torsion strain updating as you edit. The commercial tool medicinal chemists actually enjoy using.",https://www.biosolveit.de/products/,,,interactive-design; fragment-growing; strain,,commercial,,,
curated,docking,HADDOCK3,"Integrative docking driven by experimental restraints, and the practical open route to protein-protein and ternary complexes such as PROTAC-induced interfaces.",https://github.com/haddocking/haddock3,https://github.com/haddocking/haddock3,,protein-protein; ternary-complex; restraints,,open-source,haddocking/haddock3,,
curated,viz,Cytoscape,"The platform network pharmacology is done on: build a compound-target-pathway network, lay it out, score the hubs, and see what the topology actually says.",https://cytoscape.org,https://github.com/cytoscape/cytoscape,,network; pharmacology; visualisation,,open-source,cytoscape/cytoscape,,
curated,target-id,NetworkAnalyst,"Network and enrichment analysis in the browser, from a gene or protein list to a protein-protein interaction subnetwork with statistics attached.",https://www.networkanalyst.ca,,,network; enrichment; ppi,,free-web,,,
curated,target-id,Metascape,"Gene list annotation and enrichment across many ontologies at once, with a protein-protein interaction module. The fastest way from a hit list to a defensible pathway story.",https://metascape.org,,,enrichment; annotation; network,,free-web,,,
curated,target-id,GeneMANIA,"Predicts function by placing a gene in a composite network of co-expression, physical interaction and pathway membership, and names the evidence for each edge.",https://genemania.org,,,network; function-prediction,,free-web,,,
curated,target-id,clusterProfiler,"The R package most enrichment figures in the literature come from: over-representation and GSEA across GO, KEGG and custom sets, with the plots built in.",https://bioconductor.org/packages/clusterProfiler/,https://github.com/yulab-smu/clusterprofiler,,enrichment; gsea; r,,open-source,yulab-smu/clusterprofiler,,
curated,target-id,CTD,"Comparative Toxicogenomics Database: curated chemical-gene, chemical-disease and gene-disease relationships from the literature. The evidence layer under most chemical-centric network studies.",https://ctdbase.org,,,chemical-gene; curated; toxicogenomics,,free-web,,,
curated,target-id,BATMAN-TCM,"Predicts targets for the constituents of a herbal formula and runs the enrichment over them, built specifically for the multi-compound multi-target case.",http://bionet.ncpsb.org.cn/batman-tcm/,,,network-pharmacology; tcm; target-prediction,,free-web,,,
curated,libraries,NPASS,"Natural products with measured activities against defined targets, and the species they came from. The quantitative counterpart to structure-only natural product collections.",https://bidd.group/NPASS/,,,natural-products; bioactivity; species,,free-web,,,
curated,libraries,CMAUP,"Collective molecular activities of useful plants: plant species mapped to their constituents, those constituents to targets, and targets to pathways and diseases.",https://bidd.group/CMAUP/,,,plants; network-pharmacology; targets,,free-web,,,
curated,libraries,IMPPAT,"Indian medicinal plants, their phytochemicals and therapeutic uses, with curated structures and drug-likeness already computed.",https://cb.imsc.res.in/imppat/,,,plants; phytochemicals; ethnopharmacology,,free-web,,,
curated,libraries,FooDB,"The chemistry of food: constituents of plant and animal foods with structures, concentrations and provenance. Useful when the starting point is a dietary source rather than a screening deck.",https://foodb.ca,,,food-chemistry; phytochemicals,,free-web,,,
curated,libraries,Phenol-Explorer,"Measured polyphenol contents of foods, including what processing and cooking do to them. Specific where general natural product databases are silent.",http://phenol-explorer.eu,,,polyphenols; plants; measured-content,,free-web,,,
curated,cheminformatics,Open Babel,"Chemical file format interconversion, 3D coordinate generation and conformer search across 110+ formats.",https://openbabel.org,https://github.com/openbabel/openbabel,,file-formats; conversion,,open-source,openbabel/openbabel,,github-topics
curated,cheminformatics,Datamol,"Ergonomic RDKit wrapper for standardisation, featurisation and parallel molecular processing.",https://datamol.io,https://github.com/datamol-io/datamol,,rdkit; preprocessing,,open-source,datamol-io/datamol,,github-topics
