full_name,owner,name,url,description,homepage,language,topics,stars,forks,license,archived,created_at,pushed_at,matched_topics
grimme-lab/xtb,grimme-lab,xtb,https://github.com/grimme-lab/xtb,Semiempirical Extended Tight-Binding Program Package,https://xtb-docs.readthedocs.io/,Fortran,atomistic-simulations; computational-chemistry; force-field; quantum-chemistry; tight-binding,839,206,LGPL-3.0,False,2019-09-30,2026-09-11,computational-chemistry
brucefan1983/GPUMD,brucefan1983,GPUMD,https://github.com/brucefan1983/GPUMD,Graphics Processing Units Molecular Dynamics,https://gpumd.org/dev,Cuda,cuda; gpu; gpumd; heat-transport; high-performance-computing; machine-learning; machine-learning-potential; molecular-dynamics,836,205,GPL-3.0,False,2017-07-14,2026-09-13,molecular-dynamics
awslabs/dgl-lifesci,awslabs,dgl-lifesci,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology,,Python,bioinformatics; cheminformatics; deep-learning; dgl; drug-discovery; geometric-deep-learning; graph-neural-networks; molecule,810,162,Apache-2.0,False,2020-04-23,2023-11-01,cheminformatics; drug-discovery
AstraZeneca/chemicalx,AstraZeneca,chemicalx,https://github.com/AstraZeneca/chemicalx,A PyTorch and TorchDrug based deep learning library for drug pair scoring. (KDD 2022),https://chemicalx.readthedocs.io,Python,biology; chemistry; deep-chemistry; deep-learning; drug; drug-discovery; drug-interaction; drug-pair,785,100,Apache-2.0,False,2021-12-06,2023-09-11,drug-discovery
CalebBell/thermo,CalebBell,thermo,https://github.com/CalebBell/thermo,Thermodynamics and Phase Equilibrium component of Chemical Engineering Design Library (ChEDL),,Python,chemical-engineering; cheminformatics; chemistry; combustion; density; environmental-engineering; equation-of-state; heat-capacity,784,142,MIT,False,2016-07-01,2026-07-13,cheminformatics
BioPandas/biopandas,BioPandas,biopandas,https://github.com/BioPandas/biopandas,Working with molecular structures in pandas DataFrames,https://BioPandas.github.io/biopandas/,Python,bioinformatics; computational-biology; drug-discovery; mol2; molecular-structures; molecule; molecules; pandas-dataframe,756,118,BSD-3-Clause,False,2015-11-21,2026-08-24,drug-discovery
Mariewelt/OpenChem,Mariewelt,OpenChem,https://github.com/Mariewelt/OpenChem,OpenChem: Deep Learning toolkit for Computational Chemistry and Drug Design Research,https://mariewelt.github.io/OpenChem/,Python,computational-biology; computational-chemistry; deep-learning; deep-neural-networks; drug-design; drug-discovery; graph-convolutional-networks; machine-learning,753,120,MIT,False,2018-07-10,2023-11-26,computational-chemistry; drug-design; drug-discovery; qsar
mdtraj/mdtraj,mdtraj,mdtraj,https://github.com/mdtraj/mdtraj,An open library for the analysis of molecular dynamics trajectories,https://mdtraj.readthedocs.io/en/latest/,Python,dihedral-angles; mdtraj; molecular-dynamics; molecular-dynamics-trajectories; pdb; pdb-files; python; rmsd,733,297,LGPL-2.1,False,2012-11-08,2026-09-07,molecular-dynamics
JuDFTteam/best-of-atomistic-machine-learning,JuDFTteam,best-of-atomistic-machine-learning,https://github.com/JuDFTteam/best-of-atomistic-machine-learning,🏆 A ranked list of awesome atomistic machine learning projects ⚛️🧬💎.,https://go.fzj.de/baml,,ai4science; atomistic-machine-learning; awesome-list; best-of-list; computational-chemistry; computational-materials-science; condensed-matter; density-functional-theory,720,71,CC-BY-SA-4.0,False,2023-06-09,2026-09-11,computational-chemistry; drug-discovery; molecular-dynamics
torchmd/torchmd,torchmd,torchmd,https://github.com/torchmd/torchmd,End-To-End Molecular Dynamics (MD) Engine using PyTorch,,Python,coarse-grained-molecular-dynamics; machine-learning; molecular-dynamics; neural-networks; pytorch; pytorch-lightning,718,88,MIT,False,2020-02-12,2026-04-21,molecular-dynamics
gnn4dr/DRKG,gnn4dr,DRKG,https://github.com/gnn4dr/DRKG,A knowledge graph and a set of tools for drug repurposing,,Jupyter Notebook,dgl; dgl-ke; drug-repurposing; graph-neural-networks; knowledge-graph; knowledge-graph-embeddings,705,164,Apache-2.0,False,2020-04-09,2022-04-19,drug-repurposing
OpenChemistry/avogadrolibs,OpenChemistry,avogadrolibs,https://github.com/OpenChemistry/avogadrolibs,"Avogadro libraries provide 3D rendering, visualization, analysis and data processing useful in computational chemistry, molecular modeling, bioinformatics, materials science, and related areas.",https://avogadro.cc/,C++,avogadro; chemistry; compchem; computational-chemistry; cross-platform; desktop; hacktoberfest; open-science,675,237,BSD-3-Clause,False,2012-04-28,2026-09-13,computational-chemistry
AgentTeam-TaichuAI/ScienceClaw,AgentTeam-TaichuAI,ScienceClaw,https://github.com/AgentTeam-TaichuAI/ScienceClaw,"ScienceClaw is a personal research assistant built with LangChain DeepAgents and AIO Sandbox infrastructure, adopting a completely new architecture beyond OpenClaw. It offers stronger security, better transparency, and a more user-friendly experience.",https://scienceclaw.zidongtaichu.com/,Python,ai-agent; bioinformatics; data-analysis; docker; drug-discovery; fastapi; feishu; langchain,663,71,,False,2026-03-13,2026-05-09,drug-discovery
nwchemgit/nwchem,nwchemgit,nwchem,https://github.com/nwchemgit/nwchem,NWChem: Open Source High-Performance Computational Chemistry,http://nwchemgit.github.io,Fortran,chemistry; computational-chemistry; density-functional-theory; electronic-structure-calculations; hartree-fock; molecular-simulation; nwchem; parallel-computing,625,190,NOASSERTION,False,2017-11-19,2026-08-29,computational-chemistry
ccsb-scripps/AutoDock-GPU,ccsb-scripps,AutoDock-GPU,https://github.com/ccsb-scripps/AutoDock-GPU,AutoDock for GPUs and other accelerators,https://autodock.scripps.edu,C++,autodock4; cuda; gpu-computing; molecular-docking; multicore-cpu; opencl,610,151,GPL-2.0,False,2019-06-14,2026-08-11,molecular-docking
cdk/cdk,cdk,cdk,https://github.com/cdk/cdk,The Chemistry Development Kit,https://cdk.github.io/,Java,bioinformatics; blueobelisk; cheminformatics; chemistry; code4lib; java,605,179,LGPL-2.1,False,2010-05-11,2026-09-07,cheminformatics
aligfellow/xyzrender,aligfellow,xyzrender,https://github.com/aligfellow/xyzrender,Publication-quality molecular graphics.,https://xyzrender.readthedocs.io,Python,compchem; computational-chemistry; molecular-graphics; molecular-visualisation,603,57,MIT,False,2026-02-20,2026-08-13,computational-chemistry
datamol-io/datamol,datamol-io,datamol,https://github.com/datamol-io/datamol,Molecular Processing Made Easy.,https://docs.datamol.io,Python,cheminformatics; drug-design; drug-discovery; medicinal-chemistry; molecule; molecules; python; rdkit,550,65,Apache-2.0,False,2021-02-23,2026-09-09,cheminformatics; drug-design; drug-discovery; medicinal-chemistry
HannesStark/EquiBind,HannesStark,EquiBind,https://github.com/HannesStark/EquiBind,EquiBind: geometric deep learning for fast predictions of the 3D structure in which a small molecule binds to a protein,,Python,drug-discovery; equivariance; geometry; graph-neural-networks; molecules; protein-structure; proteins,548,117,MIT,False,2021-10-26,2025-02-19,drug-discovery
junxia97/awesome-pretrain-on-molecules,junxia97,awesome-pretrain-on-molecules,https://github.com/junxia97/awesome-pretrain-on-molecules,[IJCAI 2023 survey track]A curated list of resources for chemical pre-trained models,,,awesome; chemical-language-models; computational-chemistry; drug-discovery; drug-discovery-and-development; finetuning; gnns; graph-representation-learning,544,58,,False,2021-12-10,2023-06-17,computational-chemistry; drug-discovery; molecular-representation-learning
chemosim-lab/ProLIF,chemosim-lab,ProLIF,https://github.com/chemosim-lab/ProLIF,Interaction Fingerprints for protein-ligand complexes and more,https://prolif.readthedocs.io,Python,cheminformatics; docking; drug-design; drug-discovery; mdanalysis; molecular-dynamics; rdkit,539,104,Apache-2.0,False,2020-01-08,2026-08-01,cheminformatics; drug-design; drug-discovery; molecular-dynamics
JuliaMolSim/DFTK.jl,JuliaMolSim,DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,Density-functional toolkit,https://docs.dftk.org,Julia,ab-initio; computational-chemistry; density-functional-theory; electronic-structure; julia; kohn-sham; materials-science; mathematical-analysis,536,110,MIT,False,2019-04-16,2026-08-19,computational-chemistry
arneschneuing/DiffSBDD,arneschneuing,DiffSBDD,https://github.com/arneschneuing/DiffSBDD,A Euclidean diffusion model for structure-based drug design.,,Python,ddpm; drug-design; equivariance; generative-model; graph-neural-networks; machine-learning,530,124,MIT,False,2022-09-29,2025-06-25,drug-design
plumed/plumed2,plumed,plumed2,https://github.com/plumed/plumed2,Development version of plumed 2,https://www.plumed.org,C++,c-plus-plus; enhanced-sampling; free-energy; molecular-dynamics; plugin; plumed; plumed2; trajectory-analysis,517,331,LGPL-3.0,False,2013-05-08,2026-09-11,molecular-dynamics
mcs07/PubChemPy,mcs07,PubChemPy,https://github.com/mcs07/PubChemPy,Python wrapper for the PubChem PUG REST API.,http://docs.pubchempy.org,Python,cheminformatics; chemistry; pubchem; python,515,125,MIT,False,2013-01-06,2025-09-08,cheminformatics
mir-group/allegro,mir-group,allegro,https://github.com/mir-group/allegro,Allegro is a code for building highly scalable E(3)-equivariant interatomic potentials,https://nequip.readthedocs.io/projects/allegro,Python,atomistic-simulations; computational-chemistry; deep-learning; drug-discovery; force-fields; interatomic-potentials; machine-learning; materials-science,500,75,MIT,False,2022-02-06,2026-05-29,computational-chemistry; drug-discovery; molecular-dynamics
JuliaMolSim/Molly.jl,JuliaMolSim,Molly.jl,https://github.com/JuliaMolSim/Molly.jl,Molecular simulation in Julia,,Julia,julia; lennard-jones; molecular-dynamics; molecular-simulation; physics-simulation; protein-structure; structural-bioinformatics,493,71,NOASSERTION,False,2018-05-15,2026-09-07,molecular-dynamics
mrkllntschpp/lammps-tutorials,mrkllntschpp,lammps-tutorials,https://github.com/mrkllntschpp/lammps-tutorials,"Beginner LAMMPS tutorials in Jupyter notebooks — lattice energy, tension and compression, grain boundaries, fracture, and polymer chains",,Jupyter Notebook,atomistic-simulations; jupyter-notebook; lammps; lammps-tutorials; materials; materials-science; molecular-dynamics; tutorial,493,122,MIT,False,2020-04-02,2026-07-19,molecular-dynamics
torchmd/torchmd-net,torchmd,torchmd-net,https://github.com/torchmd/torchmd-net,Training neural network potentials,,Python,energy-functions; equivariant-representations; molecular-dynamics; neural-networks; transformer,482,96,MIT,False,2021-04-09,2026-08-14,molecular-dynamics
oddt/oddt,oddt,oddt,https://github.com/oddt/oddt,Open Drug Discovery Toolkit,,Python,cheminformatics; docking; openbabel; python; rdkit; scoring; screening,471,128,BSD-3-Clause,False,2014-08-20,2022-12-13,cheminformatics
RosettaCommons/rosetta,RosettaCommons,rosetta,https://github.com/RosettaCommons/rosetta,The Rosetta Bio-macromolecule modeling package.  Available through license with the University of Washington.,https://www.rosettacommons.org,C++,antibody-design; enzyme-design; macromolecular-modeling; protein-design; protein-structure,469,169,NOASSERTION,False,2023-11-17,2026-09-16,antibody-design
pyiron/pyiron,pyiron,pyiron,https://github.com/pyiron/pyiron,pyiron - an integrated development environment (IDE) for computational materials science.,http://pyiron.org,Jupyter Notebook,ab-initio; ase; development-environment; dft; hdf5; ide; lammps; molecular-dynamics,464,55,BSD-3-Clause,False,2018-03-22,2025-10-13,molecular-dynamics
MolSSI/cookiecutter-cms,MolSSI,cookiecutter-cms,https://github.com/MolSSI/cookiecutter-cms,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,,Python,computational-chemistry; conda-environment; conda-forge; cookiecutter; github-actions; molecular-sciences; pytest; python-packages,463,93,MIT,False,2018-03-15,2025-12-15,computational-chemistry
rdk/p2rank,rdk,p2rank,https://github.com/rdk/p2rank,P2Rank: Protein-ligand binding site prediction from protein structure based on machine learning.,,Groovy,binding-sites; bioinformatics; chimerax; docking; drug-discovery; groovy; java; ligand,459,62,MIT,False,2016-09-25,2026-09-11,drug-discovery; virtual-screening
chembl/chembl_webresource_client,chembl,chembl_webresource_client,https://github.com/chembl/chembl_webresource_client,Official Python client for accessing ChEMBL API,https://www.ebi.ac.uk/chembl/api/data/docs,Python,chembl; cheminformatics; chemistry; chemoinformatics; python; rest; rest-client,449,105,NOASSERTION,False,2014-04-10,2026-03-24,cheminformatics
glotzerlab/hoomd-blue,glotzerlab,hoomd-blue,https://github.com/glotzerlab/hoomd-blue,Molecular dynamics and Monte Carlo soft matter simulation on GPUs.,https://hoomd-blue.readthedocs.io,C++,conda-forge; cuda; docker; gpu; hard-particle; hoomd-blue; molecular-dynamics; monte-carlo-simulation,446,172,BSD-3-Clause,False,2018-09-06,2026-09-11,molecular-dynamics
cclib/cclib,cclib,cclib,https://github.com/cclib/cclib,Parsers and algorithms for computational chemistry logfiles,https://cclib.github.io/,Python,computational-chemistry; python; quantum-chemistry,427,187,BSD-3-Clause,False,2013-12-29,2026-09-12,computational-chemistry
dewberryants/asciiMol,dewberryants,asciiMol,https://github.com/dewberryants/asciiMol,Curses based ASCII molecule viewer for terminals.,,Python,ascii; cheminformatics; chemistry; molecules; visualization,418,14,BSD-2-Clause,False,2020-09-03,2026-06-24,cheminformatics
MinkaiXu/GeoDiff,MinkaiXu,GeoDiff,https://github.com/MinkaiXu/GeoDiff,Implementation of GeoDiff: a Geometric Diffusion Model for Molecular Conformation Generation (ICLR 2022).,,Python,computational-biology; computational-chemistry; conformation; diffusion-models; generative-models; graph-neural-networks; iclr; iclr2022,417,85,MIT,False,2022-02-12,2023-05-17,computational-chemistry
experimental-design/bofire,experimental-design,bofire,https://github.com/experimental-design/bofire,Experimental design and (multi-objective) bayesian optimization.,https://experimental-design.github.io/bofire/,Python,active-learning; bayesian-optimization; cheminformatics; experimental-design; multiobjective-optimization,412,53,BSD-3-Clause,False,2022-10-31,2026-09-03,cheminformatics
openforcefield/openff-toolkit,openforcefield,openff-toolkit,https://github.com/openforcefield/openff-toolkit,"The Open Forcefield Toolkit provides implementations of the SMIRNOFF format, parameterization engine, and other tools. Documentation available at http://open-forcefield-toolkit.readthedocs.io",http://openforcefield.org,Python,amber; chemical-environment-perception; force-fields; forcefield; forcefield-parameterization; molecular-dynamics; molecular-mechanics; nsf-grant-che-1738979,412,106,MIT,False,2017-04-01,2026-09-12,molecular-dynamics
epam/Indigo,epam,Indigo,https://github.com/epam/Indigo,"Universal cheminformatics toolkit, utilities and database search tools",http://lifescience.opensource.epam.com,C++,bingo; cheminformatics; chemistry; dotnet; drug-discovery; inchi; indigo; java,406,134,Apache-2.0,False,2015-06-16,2026-09-11,cheminformatics; drug-discovery
psi4/psi4numpy,psi4,psi4numpy,https://github.com/psi4/psi4numpy,Combining Psi4 and Numpy for education and development.,,Jupyter Notebook,computational-chemistry; numpy; psi; python; scipy; tutorial,400,171,BSD-3-Clause,False,2014-08-04,2024-01-08,computational-chemistry
igashov/DiffLinker,igashov,DiffLinker,https://github.com/igashov/DiffLinker,DiffLinker: Equivariant 3D-Conditional Diffusion Model for Molecular Linker Design,,Python,diffusion-models; drug-design; equivariance; fragment-based-drug-discovery; machine-learning; molecular-linker,397,58,MIT,False,2022-09-28,2024-04-17,drug-design
MLCIL/scikit-fingerprints,MLCIL,scikit-fingerprints,https://github.com/MLCIL/scikit-fingerprints,Scikit-learn compatible library for molecular fingerprints and chemoinformatics,https://scikit-fingerprints.readthedocs.io/latest/,Python,bioinformatics; chemical-data; chemical-toolbox; cheminformatics; chemistry; chemoinformatics; machine-learning; python,393,32,MIT,False,2023-04-11,2026-09-05,cheminformatics
forlilab/Meeko,forlilab,Meeko,https://github.com/forlilab/Meeko,"Interface for AutoDock, molecule parameterization",https://meeko.readthedocs.io/,Python,chemistry; drug-design; drug-discovery; drug-target-interactions; molecular-modeling,385,78,LGPL-2.1,False,2020-11-07,2026-09-08,drug-design; drug-discovery; molecular-modeling
m3g/packmol,m3g,packmol,https://github.com/m3g/packmol,Packmol - Initial configurations for molecular dynamics simulations,http://m3g.github.io/packmol,Fortran,molecular-dynamics; simulation,379,65,MIT,False,2016-03-10,2026-05-27,molecular-dynamics
qinheming/BIoClaw,qinheming,BIoClaw,https://github.com/qinheming/BIoClaw,,,Python,ai4science; aidd; bioinformatics; cheminformatics; computational-biology; drug-discovery; esmfold; python-sandbox,377,7,Apache-2.0,False,2026-03-25,2026-04-08,cheminformatics; drug-discovery
